I_fm,I_am,I_fm,I_am,I_fm,I_am,I_fm,I_am,I_fm,I_am
0.93,7.501,0.94,7.504,1.05,7.539,1.62,7.507,1.48,9.008
1.09,6.576,1.01,6.494,1.09,7.039,1.66,7.336,1.51,8.814
1.15,5.549,1.13,5.51,1.17,6.525,1.72,7.1,1.54,8.61
1.33,4.513,1.34,4.491,1.26,6.029,1.81,6.904,1.57,8.417
1.425,3.549,1.48,3.517,1.37,5.511,1.98,6.715,1.64,8.218
1.53,2.527,1.55,3.071,1.482,5.02,2.1,6.939,1.78,8
1.63,1.517,1.79,3.545,1.58,4.552,2.18,7.093,2.01,8.226
1.682,0.613,2,4.518,1.73,4.244,2.25,7.32,2.12,8.411
1.93,1.545,2.18,5.521,1.88,4.532,2.3,7.535,2.17,8.615
2.04,2.554,2.38,6.575,1.97,4.998,,,2.23,8.806
2.14,3.587,2.53,7.506,2.08,5.561,,,2.29,9.011
2.235,4.512,,,2.15,6.01,,,,
2.33,5.476,,,2.243,6.533,,,,
2.46,6.554,,,2.34,7.027,,,,
2.62,7.527,,,2.45,7.527,,,,
