"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.93,3.5790944563815,0.94,3.61613308261093,1.05,4.02054505006703,1.62,6.22956864318099,1.48,4.7428863143908
"2",1.09,4.78491327111232,1.01,4.48971182538899,1.09,4.47017895593616,1.66,6.53217998128939,1.51,4.94553498114553
"3",1.15,5.98263479517093,1.13,5.92019786011141,1.17,5.17624379273458,1.72,6.9932567817335,1.54,5.16329509031373
"4",1.33,8.50737711081545,1.34,8.61333066927298,1.26,6.0330182383391,1.81,7.56810535365891,1.57,5.3845783689421
"5",1.425,11.5909289038492,1.48,12.1478305146523,1.37,7.17628260560504,1.98,8.51193993295204,1.64,5.76085690843871
"6",1.53,17.4781541721434,1.55,14.5700572654497,1.482,8.52224202130503,2.1,8.73638539629784,1.78,6.42302174473459
"7",1.63,31.0178292280518,1.79,14.5762620853234,1.58,10.0199189951627,2.18,8.87229371798523,2.01,7.05369584896151
"8",1.682,79.2090662950204,2,12.7788904203104,1.73,11.7673888512966,2.25,8.87321110434876,2.12,7.27608233671387
"9",1.93,36.0610362309378,2.18,11.3985110200451,1.88,11.9750497139949,2.3,8.81158340501751,2.17,7.27132956553388
"10",2.04,23.0578416042842,2.38,10.4493812978807,1.97,11.3783516436931,NA,NA,2.23,7.31030604299833
"11",2.14,17.2223247291023,2.53,9.73019038802127,2.08,10.7974155719693,NA,NA,2.29,7.33621194342605
"12",2.235,14.2993999516713,NA,NA,2.15,10.3269806885,NA,NA,NA,NA
"13",2.33,12.2829266546003,NA,NA,2.243,9.91119435016325,NA,NA,NA,NA
"14",2.46,10.83522781665,NA,NA,2.34,9.61291895477248,NA,NA,NA,NA
"15",2.62,10.0482111417352,NA,NA,2.45,9.39622797605011,NA,NA,NA,NA
